objectid,category,ghgrp_id,landfill_name,county_state,landfill_owner_org,year_landfill_opened,landfill_closure_year,current_landfill_status,landfill_design_cap,waste_in_place_tons,waste_in_place_year,lfg_collection_system,lfg_collected_mmscfd,lfg_collected_year,latitude,longitude
1147,With Project,1003601,Riverview Land Preserve,"Wayne, MI","City of Riverview, MI",1968,2030,Open,39006679,21523745,2008,Yes,6.12,2013,42.15621,-83.21208
1148,Other,1005821,Saginaw Valley Landfill,"Saginaw, MI","Waste Management, Inc.",1982,1999,Closed,4863532,4863532,1999,Yes,0.394,2012,43.4042,-84.0823
1149,With Project,1003687,Sauk Trail Hills Landfill,"Wayne, MI","Republic Services, Inc.",1975,2039,Open,35920234,21752033,2016,Yes,4.6,2013,42.2744,-83.4563
1150,Other,,Seymour Road Landfill,"Genesee, MI","Waste Management, Inc.",1988,1993,Closed,,1200000,,Yes,0.432,,43.1952,-83.8807
1151,With Project,1004497,Smiths Creek Landfill,"St. Clair, MI","St. Clair County, MI",1967,2129,Open,29779151,7914915,2016,Yes,1.9,,42.91743,-82.59168
1152,With Project,1004025,Southeast Berrien County Landfill,"Berrien, MI",Southeast Berrien County Landfill Authority,1971,2019,Open,5994855,5614439,2016,Yes,1.98,,41.81354,-86.32723
1153,With Project,,Tay Mouth Landfill,"Saginaw, MI","Republic Services, Inc.",,1997,Closed,,1000000,,Yes,0.4,,43.275,-83.862
1154,Candidate,1007728,Tri City RDF,"Sanilac, MI","Waste Management, Inc.",1971,2200,Open,26599866,3076840,2016,Yes,0.392,2012,43.437,-82.7318
1155,With Project,1007703,Venice Park Recycling & Disposal Facility,"Shiawassee, MI","Waste Management, Inc.",1981,2051,Open,21868875,10337174,2016,Yes,3.93,2012,42.98496,-83.97551
1156,With Project,1004486,Vienna Junction Landfill,"Monroe, MI","Republic Services, Inc.",1972,2030,Open,24431605,19698372,2016,Yes,2.6,,41.7329,-83.50908
1157,With Project,1007720,Waters Landfill,"Crawford, MI","Waste Management, Inc.",1982,2133,Open,24745132,5227748,2016,Yes,1.39,2010,44.855,-84.68
1158,With Project,1005269,Wayne Disposal LF,"Wayne, MI","US Ecology, Inc.",1975,1993,Closed,,1000000,,Yes,0.555,2012,42.2201,-83.53
1159,With Project,1007831,Westside Recycling and Disposal Facility,"St. Joseph, MI","Waste Management, Inc.",1970,2137,Open,53942021,12246640,2016,Yes,2.5,,41.91555,-85.692
1160,Candidate,1003960,Wexford County Landfill,"Wexford, MI",American Waste,1977,2042,Open,12987450,3804617,2016,Yes,,,44.3528,-85.3994
1161,Other,,White Lake Landfill,"Muskegon, MI","Waste Management, Inc.",1969,1999,Closed,,2300000,,Yes,0.576,,43.4098,-86.3187
1162,With Project,1001993,Whitefeather Landfill,"Bay, MI","Republic Services, Inc.",1990,2027,Open,6195598,3693153,2016,Yes,1.21,2012,43.8963,-83.9482
1163,Other,,Woodland Meadows Landfill- North,"Wayne, MI","Waste Management, Inc.",1974,1984,Closed,,2944975,,Yes,0.504,,42.2644,-83.4265
1164,Other,,Woodland Meadows Landfill-South,"Wayne, MI","Waste Management, Inc.",1983,1994,Closed,,6295758,,Yes,1.8,,42.2652,-83.4315
1165,Other,1003582,Woodland Meadows Landfill-Van Buren,"Wayne, MI","Waste Management, Inc.",1994,2027,Open,19200000,13800000,2002,Yes,4,,42.2644,-83.4265
1166,Other,1001843,Advanced Disposal Rolling Hills Landfill Inc.,"Wright, MN",Advanced Disposal Services,1965,1999,Closed,8171824,,,Yes,1.25,2012,45.244,-93.888
1167,Other,,Albert Lea Landfill,"Freeborn, MN",Minnesota Pollution Control Agency,1965,1993,Closed,1060161,1060161,,Yes,0.26,,43.682,-93.38
1168,Other,1011466,Anoka-Ramsey Sanitary LF,"Anoka, MN",Minnesota Pollution Control Agency,1967,1993,Closed,3078526,,,Yes,0.56,,45.2393,-93.4293
1169,Other,,Becker County SLF,"Becker, MN",,1972,1990,Closed,,420000,,Yes,0.08,,46.859,-95.8912
1170,Other,1005032,Blue Earth County/Ponderosa Sanitary Landfill,"Blue Earth, MN","Blue Earth County, MN",1973,2036,Open,2470960,1165580,2001,Yes,0.329,2012,44.123,-94.093
1171,Other,,Brown County SLF,"Brown, MN",,1980,2036,Open,,480000,2001,No,,,44.281,-94.597
1172,With Project,1007743,Burnsville SLF,"Dakota, MN","Waste Management, Inc.",1962,2048,Open,23218143,13859805,2016,Yes,2.79,2012,44.782,-93.319
1173,Other,,Clay County SLF,"Clay, MN",,1972,2055,Open,,,,Yes,,,46.8357,-96.412
1174,With Project,1004863,Crow Wing County SLF (new),"Crow Wing, MN","Crow Wing County, MN",1991,2020,Open,,720000,2009,Yes,0.28,2010,46.4305,-94.0683
1176,With Project,1005860,East Central SLF (ECSWC),"Kanabec, MN",East Central Solid Waste Comm.,1970,2025,Open,3006874,2116952,2016,Yes,0.478,2012,45.84607,-93.35722
1177,With Project,1007672,Elk River SLF Inc.,"Sherburne, MN","Waste Management, Inc.",1972,2067,Open,27367184,12006441,2016,Yes,3.48,2012,45.37721,-93.56445
1178,Other,1004308,Flying Cloud SLF,"Hennepin, MN",Minnesota Pollution Control Agency,1970,1988,Closed,5760562,5760562,1988,Yes,0.29,2015,44.82596,-93.447972
1179,Other,,Freeway Landfill,"Dakota, MN",,1969,1990,Closed,,3000000,,No,,,44.7983,-93.2926
1180,Other,,Hopkins SLF,"Hennepin, MN",,1971,1980,Closed,,1500000,,Yes,0.1,,44.911,-93.42
1181,Candidate,,Kandiyohi County SLF,"Kandiyohi, MN","Kandiyohi County, MN",1969,2054,Open,,1300000,2003,No,,,45.275,-95.0092
1182,Other,,Lake Elmo-Washington County Landfill,"Washington, MN",Minnesota Pollution Control Agency,1969,1975,Closed,,1540000,,Yes,0.19,,45.0075,-92.9212
1183,Other,1005549,Louisville Landfill,"Scott, MN",Minnesota Pollution Control Agency,1971,1990,Closed,2200000,2200000,,Yes,0.397,2012,44.763,-93.59
1184,Candidate,1005280,Lyon County SLF,"Lyon, MN","Lyon County, MN",1971,2085,Open,2359523,1531006,2016,Yes,0.543,2012,44.347,-95.9
1185,Candidate,1004060,Morrison County Landfill,"Morrison, MN","Morrison County, MN",1971,2030,Open,2574308,1352368,2016,No,,,45.9337,-94.303
1186,Other,1006033,Olmsted County/Kalmar LF,"Olmsted, MN",Olmsted County,1990,2022,Open,475019,310640,2001,No,,,44.046,-92.588
1187,With Project,1002059,Pine Bend Landfill,"Dakota, MN","Republic Services, Inc.",1971,2023,Open,21387757,20699950,2016,Yes,6,,44.77917,-93.05711
1188,Other,,Polk County SLF,"Polk, MN",,1975,,Open,,600000,2003,Yes,,,47.7777,-96.3836
1189,Candidate,1005335,Rice County SLF,"Rice, MN","Rice County Waste Management, MN",1973,2037,Open,2712907,1536409,2016,No,,,44.3777,-93.2266
1190,Other,,Roseau County LF,"Roseau, MN","Roseau County, MN",1973,1994,Closed,,1439112,,No,,,48.85,-95.535
1191,With Project,1007742,Spruce Ridge Landfill,"McLeod, MN","Waste Management, Inc.",1973,2099,Open,23868003,7279413,2016,Yes,1.63,2012,44.81586,-94.24837
1193,Candidate,1011916,Steele County SLF,"Steele, MN","Steele County, MN",1974,2031,Open,1263640.3,1148891,2016,No,,,43.952,-93.1058
1194,With Project,,Waste Disposal Engineering (WDE) SLF,"Anoka, MN",Minnesota Pollution Control Agency,1962,1983,Closed,,2400000,,Yes,0.19,2010,45.228,-93.312
1195,Other,1005666,WLSSD SLF,"St. Louis, MN",Minnesota Pollution Control Agency,1965,2001,Closed,2702889,2702870,2001,Yes,0.373,2012,46.854,-92.16
1196,Other,1005545,Woodlake SLF,"Hennepin, MN",Minnesota Pollution Control Agency,1960,1993,Closed,,2100000,,Yes,0.503,2012,45.0422,-93.6249
1199,Candidate,1003038,Advanced Disposal Maple Hill Landfill Inc.,"Macon, MO",Advanced Disposal Services,1976,2092,Open,16804890,5479453,2016,Yes,0.751,2012,39.7341,-92.5387
1200,With Project,1006979,Advanced Disposal Oak Ridge Landfill,"St. Louis, MO",Advanced Disposal Services,1973,2011,Closed,14245590,14245566,2011,Yes,2.96,2012,38.55868,-90.5266
1203,Candidate,1003412,Backridge Landfill,"Lewis, MO","Republic Services, Inc.",1990,2031,Open,2229353,2188414,2016,Yes,0.589,2012,40.016,-91.523
1205,With Project,1005518,Black Oak Landfill,"Wright, MO",WCA Waste Corporation,1989,2031,Open,8800000,6122446,2016,Yes,0.706,2012,37.2398,-92.4585
1207,Other,1007026,Bridgeton Landfill,"St. Louis, MO","Republic Services, Inc.",1980,2004,Closed,9351601,,,Yes,5.99,2012,38.765,-90.445
1209,Other,1004355,Butler County Landfill,"Butler, MO","Republic Services, Inc.",1980,2010,Closed,,2346624,2010,Yes,0.685,2012,36.88588,-90.3113
1211,With Project,1003514,Central Missouri SLF,"Pettis, MO",WCA Waste Corporation,1972,2043,Open,11737469,4600354,2016,Yes,2.59,2012,38.7253,-93.287
1214,Other,,City of Maryville Sanitary Landfill,"Nodaway, MO",City of Maryville Sanitary Landfill,1974,2002,Closed,,595867,2000,No,,,40.37,-94.8755
1216,With Project,1003969,Columbia SLF,"Boone, MO","City of Columbia, MO",1986,2034,Open,7288620,4317894,2016,Yes,1.32,2012,39.0144,-92.2541
1217,With Project,1007631,"Courtney Ridge Landfill, LLC","Jackson, MO","Republic Services, Inc.",1996,2052,Open,22795808,7991254,2016,Yes,2.41,2012,39.141087,-94.388472
1221,Candidate,1005795,Eagle Ridge Sanitary Landfill,"Pike, MO",WCA Waste Corporation,1972,2020,Open,47092491,2500000,2011,No,,,39.4214,-91.2182
1223,Other,,Ellis-Scott Landfill,"Henry, MO","Republic Services, Inc.",1992,,Closed,,455000,2001,No,,,38.4825,-93.7645
1225,Other,,Farmer's Stone Product Company SLF,"Livingston, MO",,1975,1998,Closed,,430122,,No,,,39.7419,-93.7162
1226,Other,1004604,Fort Leonard Wood SLF,"Pulaski, MO",United States Army,1960,1994,Closed,840105,840105,1994,No,,,37.725944,-92.125385
1228,With Project,,Fulton SLF,"Callaway, MO","City of Fulton, MO",1975,2011,Closed,,330514,2007,Yes,0.13,,38.8159,-92.0141
1233,Other,,Henderson Sanitary Landfill,"Grundy, MO",Henderson Sanitary Landfill,1979,1992,Closed,,393394,,No,,,40.1466,-93.3872
1237,With Project,1008252,IESI Champ Landfill,"St. Louis, MO",Progressive Waste Solutions Ltd.,1974,2086,Open,125000000,25000000,2008,Yes,,,38.743,-90.46
1238,With Project,1002141,IESI Timber Ridge Landfill,"Washington, MO",Progressive Waste Solutions Ltd.,2003,2085,Open,15053430,2549921,2016,Yes,0.462,2012,38.172,-90.77
1239,Other,,Jackson County Landfill,"Cape Girardeau, MO","City of Jackson, MO",1978,1994,Closed,,231826,,No,,,37.3695,-89.7363
1240,With Project,1003624,Jefferson City Sanitary Landfill,"Cole, MO","Republic Services, Inc.",1979,2032,Open,7444124,5083900,2016,Yes,1.39,2012,38.5435,-92.1
1241,Other,,Johnson County Landfill,"Johnson, MO","Republic Services, Inc.",1978,1994,Closed,,5965432,,No,,,38.726056,-93.667204
1246,Other,,Lake City Army Ammun Plant SLF,"Jackson, MO",United States Army,1980,,Closed,,8551,,No,,,39.09,-94.249
1247,With Project,,Lamar Landfill,"Barton, MO","City of Lamar, MO",1985,1999,Closed,,,,Yes,,,37.547,-94.301
1248,Candidate,1002546,Lee's Summit SLF,"Jackson, MO","City of Lee's Summit, MO",1981,2021,Open,3794094,2576380,2016,Yes,0.277,2012,38.86962,-94.35622
1249,Candidate,1007023,Lemons East Sanitary Landfill / Lemons West Landfill,"Stoddard, MO","Republic Services, Inc.",1979,2047,Open,13111605,6008229,2016,Yes,0.715,2014,36.832771,-89.9412
1252,Other,,Midwest Landfill,"Franklin, MO","Republic Services, Inc.",1985,1994,Closed,,404586,,No,,,38.3438,-90.8308
1255,Other,1007886,Missouri Pass Landfill,"St. Louis, MO","Republic Services, Inc.",1976,1995,Closed,,11939306,,Yes,1.73,2012,38.70767,-90.416613
1256,Other,,Moberly Municipal SLF,"Randolph, MO","City of Moberly, MO",1976,2005,Closed,,446863,,No,,,39.477,-92.508
1264,Other,1011339,Newton McDonald County Landfill Inc.,"Newton, MO","Newton-McDonald County SLF Board, MO",1974,1996,Closed,,2305227,1996,Yes,0.72,,36.8075,-94.3749
1265,Other,,Northside Sanitary Landfill,"Franklin, MO",,1989,2004,Closed,1100000,1100000,2004,No,,,38.52388,-90.94352
1269,Other,,"Phelps County Landfill, Inc.","Phelps, MO",County of Phelps,1981,1994,Closed,,291908,,No,,,37.99399,-91.70616
1270,With Project,1007632,Prairie View Regional Waste Facility,"Barton, MO","Republic Services, Inc.",1985,2038,Open,21583377,10697294,2016,Yes,1.89,2012,37.551,-94.311
1271,Other,,Redbird Landfill,"Jefferson, MO",Mark Simpson,1978,1986,Closed,,2000000,,No,,,38.45013,-90.406883
1273,With Project,1003871,Rumble Landfill #2,"Jackson, MO","Waste Management, Inc.",1969,1997,Closed,,3743617,,Yes,1.11,2012,39.1405,-94.4
1274,Other,,Rye Creek SLF,"Adair, MO",Rye Creek Corporation,1983,2000,Closed,,171483,,No,,,40.1931,-92.58161
1278,Candidate,1007060,Show-Me Regional Landfill,"Johnson, MO","Republic Services, Inc.",1975,2051,Open,6471338,3649002,2016,Yes,1.18,2012,38.72586,-93.66711
1279,Other,1004312,Southeast SLF,"Jackson, MO","Republic Services, Inc.",1972,2002,Closed,6601132,,,Yes,1.37,2012,38.9767,-94.5435
1280,With Project,1002906,Springfield Sanitary Landfill,"Greene, MO","City of Springfield, MO",1975,2029,Open,8801586,6783115,2016,Yes,1.58,,37.385,-93.35
1282,With Project,1001925,St. Joseph City SLF,"Buchanan, MO","City of St. Joseph, MO",1978,2100,Open,10854146,4647811,2016,Yes,0.813,2012,39.6714,-94.773
1292,Other,,Wayne County Landfill,"Wayne, MO","Wayne County, MO",1977,1991,Closed,,75653,,No,,,37.1272,-90.445
1298,Other,,Woods Chapel SLF,"Jackson, MO","The Links at Stone Canyon, Inc.",1974,1994,Closed,2100000,2100000,,Yes,0.576,,39.0425,-94.323
1300,Candidate,1006223,Big River Landfill,"Washington, MS","Republic Services, Inc.",1981,2156,Open,22759144,6482715,2013,No,,,33.4063,-90.9606
1301,Other,,Byram Landfill,"Hinds, MS","City of Jackson, MS",1977,1993,Closed,,2032800,,No,,,32.155,-90.27
1302,Candidate,1007707,Central Landfill,"Pearl River, MS","Waste Management, Inc.",1987,2136,Open,11937870,2691638,2016,No,,,30.7073,-89.6017
1303,Candidate,1006544,City of Canton SLF,"Madison, MS","City of Canton, MS",1987,2145,Open,7000000,1118063,2016,No,,,32.597,-90.06647
1304,Other,,City of Durant LF,"Holmes, MS","Waste Management, Inc.",1981,2001,Closed,650000,650000,2001,No,,,33.13,-89.862
1305,Other,,City of Louisville Solid Waste Landfill,"Winston, MS","City of Louisville, MS",1986,2115,Open,3116800,262130,2008,No,,,33.1665,-89.055
1306,Candidate,1000217,Clearview Environmental Control Facility,"Scott, MS","Waste Management, Inc.",1991,2053,Open,21482258,6884292,2016,Yes,0.88,2014,32.2354,-89.3723
1307,Other,,Columbus SLF,"Lowndes, MS","City of Columbus, MS",,,Closed,,4000000,2000,No,,,33.4689,-88.35
1308,With Project,1005964,Golden Triangle Regional Landfill,"Oktibbeha, MS","Golden Triangle Regional Solid Waste Management Authority, MS",1996,2175,Open,26004447,2670876,2016,Yes,0.449,2012,33.5283,-88.6724
1309,Other,1006117,Gulf Pines LF,"Harrison, MS","Republic Services, Inc.",1979,1997,Closed,2516021,2516021,1997,Yes,0.303,2012,30.490446,-88.942707
1312,Other,,Jefferson County LF,"Jefferson, MS","Southern Landfill Management, Inc.",1996,2332,Open,16728135,146370,2008,No,,,31.652,-91.144
1313,Other,,Kemper County Solid Waste Landfill,"Kemper, MS","Waste Pro USA, Inc.",1994,2020,Open,267510,210185,2008,No,,,32.7982,-88.5726
1314,Candidate,1006851,Leflore County Landfill,"Leflore, MS",Leflore County Board of Supervisors,1996,2025,Open,2963673,1940807,2016,No,,,33.4456,-90.2078
1315,Candidate,1006302,Little Dixie Landfill,"Madison, MS","Republic Services, Inc.",1979,2029,Open,20509099,17130083,2016,Yes,2.9,2012,32.4088,-90.24325
1316,Candidate,1010379,MacLand Landfill,"Jackson, MS","MacLand Disposal Center, Inc.",2008,2050,Open,4441071,2773876,2016,No,,,30.50414,-88.5325
1317,Other,1005282,Northeast Mississippi Regional Landfill,"Tippah, MS",Northeast Mississippi Solid Waste Management Authority,2001,2024,Open,6745268,4390349,2016,Yes,1.94,2012,34.9477,-88.93775
1318,With Project,1007890,Pecan Grove Sanitary Landfill,"Harrison, MS","Waste Management, Inc.",1988,2037,Open,18887130,10948722,2016,Yes,3.3,,30.427,-89.2669
1319,Candidate,1010773,Pine Belt Regional Landfill,"Perry, MS","Pine Belt Regional Solid Waste Management Authority, MS",1997,2016,Closed,2483164,2394084,2016,No,,,31.4056,-89.0938
1320,Candidate,1005165,Pine Ridge Sanitary Landfill,"Lauderdale, MS","Waste Management, Inc.",1988,2052,Open,8027329,3678836,2016,Yes,0.581,2012,32.3754,-88.6102
1321,Candidate,1003399,Plantation Oaks Sanitary Landfill,"Adams, MS","Waste Management, Inc.",1989,2104,Open,9210252,2756774,2016,No,,,31.3576,-91.3954
1322,Other,,Pleasant Hills,"DeSoto, MS","DeSoto County, MS",1991,2010,Closed,,,,No,,,34.9366,-89.8925
1323,With Project,1007891,Prairie Bluff Sanitary Landfill,"Chickasaw, MS","Waste Management, Inc.",1988,2167,Open,38684090,14077823,2010,Yes,1.97,2010,33.9585,-88.9921
1324,With Project,1002547,Three Rivers Regional Landfill,"Pontotoc, MS","Three Rivers Regional Solid Waste Management Authority, MS",1995,2066,Open,13800000,4221648,2016,Yes,0.65,2010,34.2855,-89.059
1325,Candidate,1007683,Tunica County Landfill,"Tunica, MS","Waste Management, Inc.",1998,2081,Open,25298854,5633241,2016,Yes,0.679,2012,34.7877,-90.2483
1326,With Project,1000477,Billings City Landfill,"Yellowstone, MT","City of Billings, MT",1969,2050,Open,18838130,7222182,2016,Yes,0.895,2012,45.72368,-108.54805
1327,Other,1003987,City of Bozeman SLF,"Gallatin, MT","City of Bozeman, MT",1967,2007,Closed,,1500000,2005,Yes,0.224,2012,45.717,-111.024
1328,With Project,1007460,Flathead County Landfill,"Flathead, MT","Flathead County Solid Waste District, MT",1971,2060,Open,12000000,3621885,2016,Yes,0.72,,48.3117,-114.344
1329,Candidate,1006805,Gallatin County Logan Landfill,"Gallatin, MT","Gallatin County, MT",1972,2026,Open,3442819,1809942,2016,No,,,45.87462,-111.41042
1330,Candidate,1006766,High Plains SLF,"Cascade, MT",Montana Waste Systems,1980,2022,Open,8255356,2797932,2016,No,,,47.62667,-111.189
1331,Candidate,1004013,Missoula Landfill,"Missoula, MT","Republic Services, Inc.",1968,2115,Open,18484378,7440645,2016,Yes,0.687,2012,46.9028,-114.011
1332,Candidate,1005138,Alamance County Landfill,"Alamance, NC","Alamance County, NC",1994,2032,Open,1853029,1853018,2016,No,,,35.93083,-79.29667
1333,Other,,Alexander County Landfill,"Alexander, NC",Landfill Owner of Alexander County Landfill,1979,1995,Closed,,433130,,No,,,35.9005,-81.2132
1334,Other,,Alleghany County LF,"Alleghany, NC",Alleghany County,1981,2001,Closed,,237899,,Yes,0.076,,36.49357,-81.14299
1335,Other,,Anderson Creek LF Harnett County,"Harnett, NC","Harnett County, NC",1975,1993,Closed,,206497,,No,,,35.3277,-78.9317
1336,Other,,Anson County LF,"Anson, NC","Anson County, NC",1978,1994,Closed,,303941,,No,,,34.9352,-79.9367
1337,Candidate,1002236,Anson County Waste Management Facility,"Anson, NC","Waste Connections, Inc.",2000,2057,Open,16344613,4822958,2016,Yes,0.48,2012,34.973,-80.257
1338,Other,,Ashe County Landfill,"Ashe, NC","Ashe County, NC",1972,2059,Open,,438069,,No,,,36.521,-81.368
1339,Other,,Avery County LF,"Avery, NC","Avery County, NC",1972,1994,Closed,249000,249000,,Yes,0.022,,35.9515,-81.9865
1342,With Project,1001943,Blackburn SLF,"Catawba, NC","Catawba County, NC",1980,2075,Open,21908770,4621993,2016,Yes,1.728,2016,35.6077,-81.31
1343,Other,,Bladen County LF,"Bladen, NC",Bladen County,1972,1992,Closed,,636269,,No,,,34.6486,-78.5737
1344,Other,,Brunswick County LF,"Brunswick, NC",Landfill Owner of Brunswick County LF,1983,1999,Closed,,1063573,,No,,,34.0564,-78.1702
1345,With Project,1001775,Buncombe County New Landfill,"Buncombe, NC","Buncombe County Department of Solid Waste, NC",1997,2069,Open,8027316,2280829,2016,Yes,0.72,2012,35.7272,-82.644
1346,With Project,1006406,Buncombe County Old Landfill,"Buncombe, NC","Buncombe County Department of Solid Waste, NC",1972,1998,Closed,3300000,3300000,,Yes,0.387,2012,35.661,-82.608
1347,Other,,Caldwell County Mt. Herman Landfill,"Caldwell, NC","Caldwell County, NC",1977,1999,Closed,1214795,1214795,,Yes,0.2,2011,35.87695,-81.467236
1348,Other,,Canton LF-Haywood County,"Haywood, NC","Town of Canton, NC",1975,2007,Closed,,889647,,No,,,35.52493,-82.82085
1350,Other,,Caswell County LF,"Caswell, NC",Caswell County,1975,1995,Closed,,111731,,No,,,36.4395,-79.3644
1351,With Project,1003099,Charlotte Motor Speedway Landfill V,"Cabarrus, NC","Republic Services, Inc.",1992,2032,Open,40798812,30708197,2016,Yes,7.79,2012,35.3457,-80.6826
1352,Other,,Chatham County LF,"Chatham, NC","Chatham County, NC",1975,1993,Closed,,559020,,No,,,35.7401,-79.26471
1353,Other,,Cherokee County Landfill,"Cherokee, NC","Cherokee County, NC",1972,1997,Closed,,423438,,Yes,,,35.17883,-83.90334
1354,Other,,Cherokee County Subtitle D MSW Facility,"Cherokee, NC","Cherokee County, NC",,2042,Open,,,,No,,,35.1786,-83.91
1355,Candidate,1005594,City of Albemarle LF,"Stanly, NC","City of Albemarle, NC",1974,2045,Open,4075884,2287912,2016,No,,,35.3173,-80.1658
1356,With Project,1007078,City of Durham SLF,"Durham, NC","City of Durham, NC",1973,1998,Closed,,3600000,,Yes,1.14,2012,36.02604,-78.85641
1357,Other,1006978,City of Greensboro White Street Landfill,"Guilford, NC","City of Greensboro, NC",1965,2129,Open,11527740,10745341,2016,Yes,3.05,2012,36.107,-79.73
1359,Candidate,1005825,Cleveland County LF,"Cleveland, NC","Cleveland County, NC",1971,2080,Open,14001750,4543085,2016,No,,,35.3287,-81.477
1360,Other,,Cliffside South Rutherford County LF,"Rutherford, NC","Rutherford County, NC",1977,1994,Closed,,209084,,No,,,35.27,-81.806
1361,With Project,,"Columbus County, ARS","Columbus, NC","Columbus County, NC",1973,1997,Closed,,1250000,1997,Yes,0.14,2013,34.2941,-78.7543
1362,Other,,Craven County LF,"Craven, NC",Craven County,1982,2012,Closed,,985028,,No,,,35.1682,-77.2282
1363,With Project,1001627,Cumberland County Ann Street Landfill,"Cumberland, NC","Cumberland County, NC",1980,2024,Open,,4452887,2016,Yes,1.8,,35.065,-78.868
1366,With Project,1004204,Davidson County LF,"Davidson, NC","Davidson County, NC",1985,2050,Open,4879128,2926807,2016,Yes,1.11,2012,35.8324,-80.1756
1367,Other,,Davie County LF,"Davie, NC",Davie County,1972,1999,Closed,,431466,,No,,,35.87509,-80.52091
1369,Candidate,1003101,East Carolina Regional LF,"Bertie, NC","Republic Services, Inc.",1993,2042,Open,24046822,10797058,2016,Yes,3.87,2012,36.112286,-77.071925
1370,Other,,East Lake LF-Dare County,"Dare, NC",Dare County,1982,1996,Closed,,643568,,No,,,35.89308,-75.96674
1371,With Project,1000554,Edgecombe County LF,"Edgecombe, NC","Edgecombe County, NC",1980,2044,Open,2039000,1800000,2013,Yes,0.36,2014,35.822,-77.565
1372,Other,1004405,Feltonsville Sanitary Landfill,"Wake, NC","Wake County, NC",1977,2004,Closed,,1433604,,Yes,0.177,2012,35.682,-78.85
1373,Candidate,1007044,Foothills Environmental Landfill,"Caldwell, NC","Republic Services, Inc.",1998,2035,Open,10878011,4858328,2016,Yes,1.59,2012,35.915,-81.593
1374,Other,,Franklin County LF,"Franklin, NC","Franklin County, NC",1973,1995,Closed,,624283,,No,,,36.064,-78.378
1375,With Project,1005137,Gaston County LF,"Gaston, NC","Gaston County, NC",1987,2035,Open,6756327,3671304,2016,Yes,,,35.3886,-81.1718
1377,Other,,Granville County LF 1,"Granville, NC",Landfill Owner of Granville County LF 1,1976,1997,Closed,,808605,,No,,,36.3717,-78.6231
1378,Other,,Great Oak Landfill,"Randolph, NC","Randolph County, NC",2017,,Open,28300000,,,No,,,35.746,-79.752
1379,Other,,Greene County Landfill,"Greene, NC","Greene County, NC",1982,1991,Closed,,147289,,No,,,35.52515,-77.69514
1380,With Project,1003137,Hanes Mill Road Landfill,"Forsyth, NC","City of Winston-Salem, NC",1972,2036,Open,15404259,11306698,2016,Yes,3.312,,36.1869,-80.2806
1381,Other,,Harnett County LF,"Harnett, NC","Harnett County, NC",1976,,Closed,,1154018,,Yes,,,35.3535,-78.6537
1382,With Project,,Haywood County LF,"Haywood, NC","Haywood County, NC",1973,1993,Closed,,550000,1993,Yes,0.23,2011,35.504,-82.9588
1383,Candidate,1011696,Haywood County White Oak LF,"Haywood, NC","Haywood County, NC",1993,2041,Open,5408994,1364386,2016,No,,,35.66343,-82.99866
1384,Other,1005993,Henderson County LF,"Henderson, NC","Henderson County, NC",1960,2001,Closed,,2100000,,Yes,0.5,2014,35.355,-82.496
1385,Other,,Hertford County LF,"Hertford, NC","Hertford County, NC",1973,1995,Closed,,1000000,,No,,,36.3838,-76.9367
1386,Other,,Hoke County LF,"Hoke, NC",Hoke County,1971,1994,Closed,,354726,,No,,,35.01388,-79.19535
1387,With Project,1006514,Iredell County LF,"Iredell, NC","Iredell County, NC",1978,2037,Open,4858387,4858364,2016,Yes,1.98,2012,35.7768,-80.8244
1388,With Project,,Jackson County Landfill,"Jackson, NC","Jackson County, NC",1974,1996,Closed,,750000,,Yes,0.0576,,35.371,-83.261
1389,Other,,JMN Landfill,"Cleveland, NC","Republic Services, Inc.",,,Open,,,,No,,,35.2096,-81.5013
1390,With Project,1004252,Johnston County MSW LF,"Johnston, NC","Johnston County, NC",1973,2022,Open,11924308,3387908,2016,Yes,0.92,2012,35.5117,-78.4295
1391,Other,,Jones County LF,"Jones, NC","Jones County, NC",1972,,Closed,,156630,,No,,,35.059,-77.341
1392,Candidate,1000365,Kersey Valley Landfill,"Guilford, NC",City of High Point Department of Public Services,1993,2027,Open,3665846,2556849,2016,Yes,,,35.9603,-79.9401
1393,Other,,Lee County LF,"Lee, NC","Lee County, NC",1972,1999,Closed,,935481,,No,,,35.372,-79.194
1394,Other,1005026,Lenoir County LF,"Lenoir, NC","Lenoir County, NC",1980,2008,Closed,2849904,1437973,2008,No,,,35.282,-77.7114
1395,Candidate,1005461,Lincoln County Landfill,"Lincoln, NC","Lincoln County, NC",1988,2035,Open,1819125,1196949,2016,No,,,35.430224,-81.352521
1396,Other,,Macon County LF,"Macon, NC","Macon County, NC",1992,2046,Open,1569675,684342,2016,No,,,35.202,-83.38
1397,Other,,Madison County LF 1,"Madison, NC","Madison County, NC",1974,1993,Closed,,181770,,No,,,35.8043,-82.6325
1398,Other,,Madison County LF 2,"Madison, NC","Madison County, NC",1993,2004,Closed,,65047,2004,No,,,35.809,-82.72
1399,Other,,McDowell County LF,"McDowell, NC","McDowell County, NC",1971,1996,Closed,735300,735300,1996,No,,,35.657,-81.955
1400,Other,,Mecklenburg County LF,"Mecklenburg, NC","Mecklenburg County, NC",1973,1996,Closed,,3710642,,No,,,35.2223,-80.6855
1401,Other,,Moore County LF,"Moore, NC","Moore County, NC",1974,1993,Closed,,1315238,,No,,,35.151,-79.4707
